2025-03-17 18:17:01.620 [nioEventLoopGroup-4-1] INFO  RadarLogger - Radar [127.0.0.1:9000]] connection success!
2025-03-17 18:17:01.621 [nioEventLoopGroup-4-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9000, RadarClientHandler#0, 当前设备数量：1
2025-03-17 18:17:01.630 [nioEventLoopGroup-5-1] INFO  RadarLogger - Radar [127.0.0.1:9001]] connection success!
2025-03-17 18:17:01.631 [nioEventLoopGroup-5-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9001, RadarClientHandler#0, 当前设备数量：2
2025-03-17 18:17:01.643 [nioEventLoopGroup-6-1] INFO  RadarLogger - Radar [127.0.0.1:9002]] connection success!
2025-03-17 18:17:01.643 [nioEventLoopGroup-6-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9002, RadarClientHandler#0, 当前设备数量：3
2025-03-17 18:17:01.657 [nioEventLoopGroup-7-1] INFO  RadarLogger - Radar [127.0.0.1:9003]] connection success!
2025-03-17 18:17:01.657 [nioEventLoopGroup-7-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9003, RadarClientHandler#0, 当前设备数量：4
2025-03-17 18:17:01.670 [nioEventLoopGroup-8-1] INFO  RadarLogger - Radar [127.0.0.1:9004]] connection success!
2025-03-17 18:17:01.670 [nioEventLoopGroup-8-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9004, RadarClientHandler#0, 当前设备数量：5
2025-03-17 18:17:01.687 [nioEventLoopGroup-9-1] INFO  RadarLogger - Radar [127.0.0.1:9005]] connection success!
2025-03-17 18:17:01.687 [nioEventLoopGroup-9-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9005, RadarClientHandler#0, 当前设备数量：6
2025-03-17 18:17:01.705 [nioEventLoopGroup-10-1] INFO  RadarLogger - Radar [127.0.0.1:9006]] connection success!
2025-03-17 18:17:01.705 [nioEventLoopGroup-10-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9006, RadarClientHandler#0, 当前设备数量：7
2025-03-17 18:17:01.724 [nioEventLoopGroup-11-1] INFO  RadarLogger - Radar [127.0.0.1:9007]] connection success!
2025-03-17 18:17:01.724 [nioEventLoopGroup-11-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9007, RadarClientHandler#0, 当前设备数量：8
2025-03-17 18:17:01.740 [nioEventLoopGroup-12-1] INFO  RadarLogger - Radar [127.0.0.1:9008]] connection success!
2025-03-17 18:17:01.740 [nioEventLoopGroup-12-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9008, RadarClientHandler#0, 当前设备数量：9
2025-03-17 18:17:01.754 [nioEventLoopGroup-14-1] INFO  RadarLogger - Radar [127.0.0.1:9009]] connection success!
2025-03-17 18:17:01.754 [nioEventLoopGroup-14-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9009, RadarClientHandler#0, 当前设备数量：10
2025-03-17 18:17:01.778 [nioEventLoopGroup-15-1] INFO  RadarLogger - Radar [127.0.0.1:9010]] connection success!
2025-03-17 18:17:01.778 [nioEventLoopGroup-15-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9010, RadarClientHandler#0, 当前设备数量：11
2025-03-17 18:17:01.791 [nioEventLoopGroup-16-1] INFO  RadarLogger - Radar [127.0.0.1:9011]] connection success!
2025-03-17 18:17:01.792 [nioEventLoopGroup-16-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9011, RadarClientHandler#0, 当前设备数量：12
2025-03-17 18:17:01.806 [nioEventLoopGroup-17-1] INFO  RadarLogger - Radar [127.0.0.1:9012]] connection success!
2025-03-17 18:17:01.806 [nioEventLoopGroup-17-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9012, RadarClientHandler#0, 当前设备数量：13
2025-03-17 18:17:01.821 [nioEventLoopGroup-18-1] INFO  RadarLogger - Radar [127.0.0.1:9013]] connection success!
2025-03-17 18:17:01.821 [nioEventLoopGroup-18-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9013, RadarClientHandler#0, 当前设备数量：14
2025-03-17 18:17:01.836 [nioEventLoopGroup-19-1] INFO  RadarLogger - Radar [127.0.0.1:9014]] connection success!
2025-03-17 18:17:01.836 [nioEventLoopGroup-19-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9014, RadarClientHandler#0, 当前设备数量：15
2025-03-17 18:17:01.851 [nioEventLoopGroup-20-1] INFO  RadarLogger - Radar [127.0.0.1:9015]] connection success!
2025-03-17 18:17:01.851 [nioEventLoopGroup-20-1] INFO  RadarLogger - 设备连接成功:127.0.0.1:9015, RadarClientHandler#0, 当前设备数量：16
2025-03-17 18:17:01.855 [pool-15-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9012]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-8-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9005]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-12-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9009]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-17-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9014]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-4-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9001]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-6-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9003]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-13-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9010]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-9-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9006]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-14-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9011]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-11-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9008]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-7-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9004]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-3-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9000]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-16-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9013]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-5-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9002]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.855 [pool-10-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9007]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.856 [pool-18-thread-1] INFO  RadarLogger - 收到雷达[127.0.0.1:9015]上报数据[0x75 0x7B 0x06 0x03 0xEE ]: 有货变无货
2025-03-17 18:17:01.870 [nioEventLoopGroup-21-1] INFO  RadarLogger - Radar [127.0.0.1:9016]] connection success!
